symbol,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,logo_url,address2,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,quoteSourceName,averageDailyVolume3Month,regularMarketTime,regularMarketChange,preMarketPrice,exchangeDataDelayedBy,postMarketChange,postMarketPrice,exchangeName,preMarketChange,regularMarketSource,marketState
MMM,55144-1000,Industrials,95000.0,"3M Company develops, manufactures, and markets various products worldwide. It operates through four business segments: Safety and Industrial, Transportation and Electronics, Health Care, and Consumer. The Safety and Industrial segment offers personal safety products, industrial adhesives and tapes, abrasives, closure and masking systems, electrical markets, automotive aftermarket, and roofing granules to industrial, electrical, and safety markets. The Transportation and Electronics provides electronics, such as display materials and systems, electronic materials solutions; automotive and aerospace, and commercial solutions; advanced materials; and transportation safety products to transportation and electronic original equipment manufacturer customers. The Health Care segment offers medical and surgical supplies, skin health and infection prevention products, oral care, separation and purification sciences, health information systems, drug delivery systems, and food safety products to healthcare industry. The Consumer segment provides home improvement, home care, and consumer health care products, as well as stationery and office supplies to various consumers. This segment is also involved in the retail auto care business. It offers its products through various e-commerce and traditional wholesalers, retailers, jobbers, distributors, and dealers, as well as directly to users. 3M Company has a strategic collaboration with Merry Maids in residential cleaning sector; and collaborations with The Infectious Disease Research Institute and Duke Human Vaccine Institute to create a vaccine candidate with potential to provide protection against multiple variants of SARS-CoV-2. The company was founded in 1902 and is headquartered in St. Paul, Minnesota.",St. Paul,651-733-1110,MN,United States,[],http://www.3m.com,1,3M Center,Conglomerates,0.28613,0.16764,0.48024,7964000256.0,0.071,0.23218,10108000256.0,138.0,hold,15685000000.0,5780874752.0,192.5,170.04,0.0,1.705,0.10945,18.0,189.06,130.812,0.44799998,210.0,5734000128.0,19007000576.0,35326001152.0,9.95,USD,60.915,1.105,3.1,NYQ,3M Company,3M Company,America/New_York,EST,False,-18000000.0,EQUITY,finmb_289194,us_market,,3.252,,11.367,0.03348577,,10.43,,576252992.0,,,,25.093,8872717.0,0.0154,,1609372800.0,0.6844,5921999872.0,10.111,1.48,0.27108085,6.7763915,0.0011999999,1672444800.0,,1632960000.0,4.1,1634256000.0,575595875.0,0.947532,114896027648.0,2,,1064880000.0,2:1,,1637193600.0,,0.003,2.7737658,1636934400.0,2.23,,16.30297,,0.0154,9779274.0,,,,176.23,174.7,191.19635,0.03353572,0.5846,,175.71,,2074630.0,176.23,179.9416,5.91,174.7,,2074630.0,,,5.92,1637193600.0,,,169.95,USD,16.817327,2625832.0,,,,97986052096.0,,,2555169.0,169.95,171.25,800.0,2625832.0,208.95,,2.92,163.38,170.2,False,0.0336,1000.0,175.71,170.04,https://logo.clearbit.com/3m.com,,,,,,,,,,,,,,,,,,
ABT,60064-6400,Healthcare,109000.0,"Abbott Laboratories discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, MÃ©niÃ¨re's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. It has collaboration agreement with Cereno Scientific AB (publ). The company was founded in 1888 and is based in North Chicago, Illinois.",North Chicago,224 667 6100,IL,United States,[],http://www.abbott.com,1,100 Abbott Park Road,Medical Devices,0.29229,0.17122,0.5685,11264000000.0,0.234,0.20906,12366000128.0,110.0,buy,19611000000.0,8126875136.0,139.0,125.77,0.696,1.826,0.0774,20.0,138.61,53.112,0.21862,158.0,9692000256.0,18396999680.0,42308001792.0,5.481,USD,23.815,1.251,2.0,NYQ,Abbott Laboratories,Abbott Laboratories,America/New_York,EST,False,-18000000.0,EQUITY,finmb_247483,us_market,,5.472,,18.722,0.18010879,,4.73,,1768290048.0,,,,19.466,10136654.0,0.0057,,1609372800.0,0.75279,7208000000.0,4.03,0.45,0.27108085,6.461009,0.0072899996,1672444800.0,,1632960000.0,1.89,1634256000.0,1754812622.0,0.668051,231512965120.0,2,,1357084800.0,10000:4798,,1634169600.0,,0.705,5.2566376,1636934400.0,1.88,,26.589851,,0.0058999998,10496776.0,,,,128.03,128.2,120.687,0.014059205,0.42430001,,128.79,,4790970.0,128.03,123.7374,1.8,128.2,,4790970.0,,,1.8,1634169600.0,,,125.34,USD,31.208435,7087482.0,,,,222397841408.0,,,5049492.0,125.34,125.51,800.0,7087482.0,131.6,,1.67,105.32,125.69,False,0.0143,800.0,128.79,125.77,https://logo.clearbit.com/abbott.com,Abbott Park,,,,,,,,,,,,,,,,,
ABBV,60064-6400,Healthcare,50000.0,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the worldwide. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal BehÃ§et's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), mantle cell lymphoma, waldenstrÃ¶m's macroglobulinemia, marginal zone lymphoma, and chronic graft versus host disease; VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; AndroGel for males diagnosed with symptomatic low testosterone; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; Lupron for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; and Botox therapeutic. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist for women with moderate to severe endometriosis pain; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; Lumigan/Ganfort, a bimatoprost ophthalmic solution for the reduction of elevated intraocular pressure (IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Ubrelvy to treat migraine with or without aura in adults; Alphagan/ Combigan, an alpha-adrenergic receptor agonist for the reduction of IOP in patients with OAG; and Restasis, a calcineurin inhibitor immunosuppressant to increase tear production. The company was incorporated in 2012 and is based in North Chicago, Illinois.",North Chicago,847 932 7900,IL,United States,[],http://www.abbvie.com,1,1 North Waukegan Road,Drug Manufacturers—General,0.52303004,0.13656001,0.70193,22556000256.0,0.112,0.36702,28854999040.0,105.0,buy,31747000000.0,20337000448.0,130.0,115.28,0.38,1.015,0.0848,23.0,131.84,594.66,0.52255,172.0,12248999936.0,80737001472.0,55168999424.0,6.929,USD,31.187,0.755,1.9,NYQ,AbbVie Inc.,AbbVie Inc.,America/New_York,EST,False,-18000000.0,EQUITY,finmb_141885706,us_market,,4.975,,9.513,0.12351024,,14.01,,1767879936.0,,,,7.665,14088098.0,0.008,,1609372800.0,0.68132,7464999936.0,4.196,1.3,0.27108085,15.039791,0.00117,1672444800.0,,1632960000.0,2.43,1634256000.0,1751050243.0,0.79948,274490753024.0,2,,,,,1634169600.0,,0.377,3.6941254,1636934400.0,2.06,,8.228408,,0.008,11489855.0,,,,116.89,116.68,112.24975,0.04448627,1.2271,,116.79,,4891430.0,116.89,111.9628,5.2,116.68,,4891430.0,,,5.64,1642032000.0,,,115.1,USD,27.473783,6504624.0,,,,203801198592.0,,,7254404.0,115.1,115.4,800.0,6504624.0,121.53,,4.26,101.55,115.53,False,0.0484,800.0,116.79,115.28,https://logo.clearbit.com/abbvie.com,,,,,,,,,,,,,,,,,,
ABMD,01923,Healthcare,1725.0,"Abiomed, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides a continuum of care to heart failure patients. The company offers Impella 2.5, a percutaneous micro heart pump with integrated motor and sensors; and Impella CP, a device for use by interventional cardiologists to support patients in the cath lab, as well as by cardiac surgeons in the heart surgery suite. It also provides Impella 5.0, Impella LD, and Impella 5.5, which are percutaneous micro heart pumps with integrated motors and sensors for use primarily in the heart surgery suite; Impella RP, a percutaneous catheter-based axial flow pump; Impella SmartAssist platform that includes optical sensor technology for improved pump positioning and the use of algorithms that enable improved native heart assessment during the weaning process; Impella Connect, a cloud-based technology that enables secure and remote viewing of the Automated Impella Controller for physicians and hospital staffs; and OXY-1 System, a portable external respiratory assistance device. In addition, the company is developing Impella ECP, a pump for blood flow of greater than three liters per minute; Impella XR Sheath, a sheath that expands and recoils allowing small bore access and closure with Impella heart pumps; and Impella BTR, a percutaneous micro heart pump with integrated motors and sensors. Abiomed, Inc. sells its products through direct sales and clinical support personnel in the United States, Japan, Europe, Canada, Latin America, the Asia-Pacific, and the Middle East. The company was founded in 1981 and is headquartered in Danvers, Massachusetts.",Danvers,978 646 1400,MA,United States,[],http://www.abiomed.com,1,22 Cherry Hill Drive,Medical Devices,0.29598,0.15319,0.81897,281540992.0,0.183,0.26919,288176000.0,269.0,buy,685615000.0,170232128.0,415.0,314.78,-0.088,7.643,0.114630006,6.0,387.33,0.567,0.116210006,425.0,650558976.0,7854000.0,973635008.0,14.299,USD,21.494,6.491,2.4,NMS,"ABIOMED, Inc.","Abiomed, Inc.",America/New_York,EST,False,-18000000.0,EQUITY,finmb_247589,us_market,,14.252,,48.153,0.18981397,,5.04,,45497500.0,,,,30.432,997773.0,0.0219,,1617148800.0,0.92696,149152000.0,3.257,,0.27108085,10.343718,0.020610001,1680220800.0,,1632960000.0,3.94,1634256000.0,44590270.0,1.263376,13876454400.0,2,,970444800.0,2:1,,,,-0.085,14.709519,1636934400.0,7.47,,62.45635,,0.0251,809235.0,,,,319.12,319.12,325.07004,,0.0,,321.315,,186760.0,319.12,343.559,,319.12,,186760.0,,,,,,,312.43,USD,96.647224,538649.0,,,,14321702912.0,,,210611.0,312.43,315.1,1000.0,538649.0,387.4,,,254.41,314.6,False,,1000.0,321.315,314.78,https://logo.clearbit.com/abiomed.com,,978 777 8411,,,,,,,,,,,,,,,,
ACN,2,Technology,624000.0,"Accenture plc, a professional services company, provides strategy and consulting, interactive, and technology and operations services worldwide. The company offers application services, including agile transformation, DevOps, application modernization, enterprise architecture, software and quality engineering, data management, intelligent automation comprises robotic process automation, natural language processing, and virtual agents, and liquid application management services, as well as program, project, and service management services; strategy consulting services; critical data elements, data management and governance, data platform and architecture, product-based organization and skills, business adoption, and value realization services; engineering, and research and development digitization; smart connected product design and development; product platform engineering and modernization; product as-a-service enablement; products related to production and operations; autonomous robotics systems; the digital transformation of capital projects; and digital industrial workforce solutions. It also provides data-enabled operating models; technology consulting and artificial intelligence services; services related to talent and organization/human potential; digital commerce; infrastructure services, such as hybrid cloud, network, digital workplace and collaboration, service and experience management, infrastructure as code, and managed edge and IoT devices; cyber defense, applied cybersecurity, managed security, OT security, security strategy and risk, and industry security products; services related to technology innovation; and intelligent automation services. In addition, the company offers cloud, ecosystem, marketing, supply chain management, zero-based budgeting, customer experience, finance consulting, mergers and acquisitions, and sustainability services. Accenture plc was founded in 1951 and is based in Dublin, Ireland.",Dublin,353 1 646 2000,,Ireland,[],http://www.accenture.com,1,1 Grand Canal Square,Information Technology Services,0.16714,0.11689,0.32383,8975148032.0,0.238,0.15082,8446285824.0,,none,16364128000.0,7411048960.0,,357.4,0.104,1.252,0.118710004,,,17.448,0.31868,,8172468224.0,3506633984.0,50533388288.0,12.938,USD,79.612,1.14,,NYQ,Accenture plc,Accenture plc,America/New_York,EST,False,-18000000.0,EQUITY,finmb_972190,us_market,,4.491,,26.872,0.45011294,,9.98,,631641024.0,,,,30.897,4176409.0,0.0066000004,,1630368000.0,0.73754,5906808832.0,9.155,0.97,0.27108085,11.567466,0.00121,1693440000.0,,1630368000.0,2.41,1634256000.0,630907999.0,1.128831,226968633344.0,2,,,,,1634083200.0,,0.1,4.467314,1636934400.0,3.26,,35.811623,,0.0066000004,3462913.0,661662016.0,,,365.82,361.67,308.3419,0.009868241,0.3843,,365.05,,2315850.0,365.82,348.4982,3.61,361.67,,2315850.0,,,3.88,1634083200.0,,,357.29,USD,39.038776,3780060.0,,,,225748500480.0,,,1962579.0,357.29,357.91,4000.0,3780060.0,374.92,,1.55,241.73,358.52,False,0.0106,800.0,365.05,357.4,https://logo.clearbit.com/accenture.com,Grand Canal Harbour,353 1 646 2020,,,,,,,,,,,,,,,,
ATVI,90405,Communication Services,9500.0,"Activision Blizzard, Inc., together with its subsidiaries, develops and publishes interactive entertainment content and services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company operates through three segments: Activision Publishing, Inc.; Blizzard Entertainment, Inc.; and King Digital Entertainment. It develops and distributes content and services on video game consoles, personal computers, and mobile devices, including subscription, full-game, and in-game sales, as well as by licensing software to third-party or related-party companies that distribute Activision and Blizzard products. The company also maintains a proprietary online gaming service, Battle.net that facilitates digital distribution of content, online social connectivity, and the creation of user-generated content. In addition, it operates esports leagues and offer digital advertising content; and provides warehousing, logistics, and sales distribution services to third-party publishers of interactive entertainment software, as well as manufacturers of interactive entertainment hardware products. The company's key product franchises include Call of Duty, World of Warcraft, Diablo, Hearthstone, Overwatch, and Candy Crush. It serves retailers and distributors, including mass-market retailers, consumer electronics stores, discount warehouses, and game specialty stores through third-party distribution and licensing arrangements. Activision Blizzard, Inc. is headquartered in Santa Monica, California.",Santa Monica,310 255 2000,CA,United States,[],http://www.activisionblizzard.com,1,3100 Ocean Park Boulevard,Electronic Gaming & Multimedia,0.37638,0.29209,0.72647005,2892999936.0,0.059,0.36168998,3407000064.0,54.0,buy,5826000000.0,2751749888.0,95.0,58.6,0.051,5.561,0.08984,33.0,93.62,21.28,0.16877002,125.0,10000000000.0,3607000064.0,9052000256.0,12.839,USD,11.672,5.25,2.0,NMS,"Activision Blizzard, Inc","Activision Blizzard, Inc.",America/New_York,EST,False,-18000000.0,EQUITY,finmb_4222231,us_market,,4.51,,11.982,-0.2454648,,3.82,,778889024.0,,,,21.765,9575800.0,0.0123000005,,1609372800.0,0.87933,2644000000.0,3.371,0.47,0.27108085,2.6923962,0.0072600003,1672444800.0,,1632960000.0,0.9,1634256000.0,773117020.0,0.594285,40823226368.0,2,,1220832000.0,2:1,,1618358400.0,,0.058,5.0422993,1636934400.0,1.19,,15.340314,,0.0124,15060973.0,,,,60.31,60.015,86.45685,0.007793069,0.13949999,,60.425,,17625240.0,60.31,72.7686,0.47,60.015,,17625240.0,,,0.47,1618358400.0,,,58.44,USD,17.383566,19281682.0,,,,45642895360.0,,,10741369.0,58.44,58.9,2200.0,19281682.0,104.53,,0.57,58.44,58.79,False,0.0078,1800.0,60.425,58.6,https://logo.clearbit.com/activisionblizzard.com,,,,,,,,,,,,,,,,,,
ADBE,95110-2704,Technology,22516.0,"Adobe Inc. operates as a diversified software company worldwide. Its Digital Media segment provides tools and solutions that enable individuals, teams, and enterprises to create, publish, promote, and monetize their digital content. Its flagship product is Creative Cloud, a subscription service that allows customer to download and access the latest versions of its creative products. This segment serves content creators, experience designers, app developers, enthusiasts, students, social media users, and creative professionals; and marketing departments and agencies, companies, and publishers. The company's Digital Experience segment offers products, services, and solutions for creating, managing, executing, measuring, monetizing, and optimizing customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, marketing executives, information management and technology executives, product development executives, and sales and support executives. Its Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as publishing needs of technical and business, and original equipment manufacturers (OEMs) printing businesses. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and OEMs. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. The company was founded in 1982 and is headquartered in San Jose, California.",San Jose,408 536 6000,CA,United States,[],http://www.adobe.com,1,345 Park Avenue,Software—Infrastructure,0.4042,0.38671002,0.88171,6945999872.0,0.22,0.36532003,6103000064.0,560.0,buy,11146000000.0,5574499840.0,716.0,669.85,0.279,1.392,0.142,28.0,714.0,32.503,0.44697,820.0,6163999744.0,4685000192.0,15098999808.0,12.955,USD,31.563,1.245,1.8,NMS,Adobe Inc.,Adobe Inc.,America/New_York,EST,False,-18000000.0,EQUITY,finmb_24321,us_market,,21.566,,53.356,0.4348116,,14.26,,475800000.0,,,,30.282,4143342.0,0.0087,,1606435200.0,0.85279,5839000064.0,12.096,0.0065,0.27108085,22.120401,0.0031299999,1669507200.0,,1630627200.0,2.29,1634256000.0,474415422.0,1.046233,325628755968.0,2,,1116892800.0,2:1,,1111622400.0,,0.269,21.108326,1636934400.0,2.93,,46.974052,,0.0087,4618795.0,,,,687.49,687.22,567.426,,0.0,,694.89,,2045220.0,687.49,631.1762,,687.22,,2045220.0,,,,1111622400.0,,,667.83,USD,55.37781,4345504.0,,,,318714609664.0,,,2183725.0,667.83,674.95,1400.0,4345504.0,699.54,,,420.78,671.0,False,,1000.0,694.89,669.85,https://logo.clearbit.com/adobe.com,,408 537 6000,,,,,,,,,,,,,,,,
AMD,95054,Technology,12600.0,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. The company operates in two segments, Computing and Graphics; and Enterprise, Embedded and Semi-Custom. Its products include x86 microprocessors as an accelerated processing unit, chipsets, discrete and integrated graphics processing units (GPUs), data center and professional GPUs, and development services; and server and embedded processors, and semi-custom System-on-Chip (SoC) products, development services, and technology for game consoles. The company provides x86 microprocessors for desktop PCs under the AMD Ryzen, AMD Ryzen PRO, Ryzen, Threadripper, AMD A-Series, AMD FX, AMD Athlon, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for notebook and 2-in-1s under the AMD Ryzen, AMD A-Series, AMD Athlon, AMD Ryzen PRO, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for servers under the AMD EPYC and AMD Opteron brands; and chipsets under the AMD trademark. It also offers discrete GPUs for desktop and notebook PCs under the AMD Radeon graphics and AMD Embedded Radeon brands; professional graphics products under the AMD Radeon Pro and AMD FirePro graphics brands; and Radeon Instinct and AMD Instinct accelerators for servers. In addition, the company provides embedded processor solutions under the AMD Opteron, AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series processors brands; and customer-specific solutions based on AMD CPU, GPU, and multi-media technologies, as well as semi-custom SoC products. It serves original equipment manufacturers, public cloud service providers, original design manufacturers, system integrators, independent distributors, online retailers, and add-in-board manufacturers through its direct sales force, independent distributors, and sales representatives. Advanced Micro Devices, Inc. was founded in 1969 and is headquartered in Santa Clara, California.",Santa Clara,408 749 4000,CA,United States,[],http://www.amd.com,1,2485 Augustine Drive,Semiconductors,0.23047,0.26724002,0.46822,3252999936.0,0.54,0.20496,3423000064.0,101.5,buy,4347000000.0,2437625088.0,140.0,158.37,1.331,2.241,0.20934,35.0,141.5,9.837,0.72143996,180.0,3608000000.0,702000000.0,14851999744.0,2.988,USD,12.249,1.638,2.3,NMS,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",America/New_York,EST,False,-18000000.0,EQUITY,finmb_168864,us_market,,12.392,,53.767,0.7479218,,3.33,,1207609984.0,,,,5.888,75487134.0,0.0625,,1608940800.0,0.70419,3968999936.0,3.242,,0.27108085,26.897078,0.00421,1672012800.0,,1632528000.0,1.23,1634256000.0,1200473477.0,2.010909,184044175360.0,2,,966902400.0,2:1,,,,1.367,12.876999,1636934400.0,1.74,,47.55856,,0.062800005,69155470.0,,,,161.91,163.28,97.65205,,0.0,,164.4599,,53787240.0,161.91,124.4276,,163.28,,53787240.0,,,,798940800.0,,,155.6801,USD,48.849472,74678348.0,,,,191249186816.0,,,49914987.0,155.6801,158.95,1000.0,74678348.0,164.4599,,,72.5,159.1,False,,800.0,164.4599,158.37,https://logo.clearbit.com/amd.com,,,,,,,,,,,,,,,,,,
AAP,27604,Consumer Cyclical,40000.0,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning and checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its Website. It serves professional installers and do-it-yourself customers. The company operates stores under the Advance Auto Parts, Autopart International, and Carquest brands, as well as branches under the Worldpac name. As of January 2, 2021, it operated 4,806 stores and 170 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,277 independently owned Carquest branded stores in Mexico, Grand Cayman, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina.",Raleigh,540 362 4911,NC,United States,[],http://www.advanceautoparts.com,1,2635 East Millbrook Road,Specialty Retail,0.10935,0.05895,0.45089,1085405952.0,0.031,0.08638,1199138048.0,142.0,buy,4484775000.0,721063232.0,265.5,220.72,0.258,1.243,0.04967,16.0,254.69,114.014,0.18577999,290.0,604644992.0,3644493056.0,10966145024.0,9.781,USD,167.828,0.31,2.2,NYQ,Advance Auto Parts Inc.,"Advance Auto Parts, Inc.",America/New_York,EST,False,-18000000.0,EQUITY,finmb_24333,us_market,,1.558,,14.251,0.48922086,,13.06,,62355200.0,,,,51.663,3478148.0,0.0558,,1609545600.0,1.02342,646435968.0,9.819,1.0,0.27108085,4.2723036,0.00439,1672617600.0,,1633737600.0,5.52,1634256000.0,61563589.0,1.28987,17088583680.0,2,,1127692800.0,3:2,,1631750400.0,,0.151,1.2550482,1636934400.0,1.15,,16.90046,,0.063200004,3883420.0,,,,227.27,225.6,202.56555,0.011000132,0.2535,,228.17,,670200.0,227.27,223.2586,2.5,225.6,,670200.0,,,4.0,1639612800.0,,,220.0,USD,22.478867,856566.0,,,,13763040256.0,,,597628.0,220.0,221.71,800.0,856566.0,243.05,,0.32,143.15,220.71,False,0.0176,1000.0,228.17,220.72,https://logo.clearbit.com/advanceautoparts.com,,,,,,,,,,,,,,,,,,
AES,22203,Utilities,8162.0,"The AES Corporation operates as a diversified power generation and utility company. It owns and/or operates power plants to generate and sell power to customers, such as utilities, industrial users, and other intermediaries. The company also owns and/or operates utilities to generate or purchase, distribute, transmit, and sell electricity to end-user customers in the residential, commercial, industrial, and governmental sectors; and generates and sells electricity on the wholesale market. It uses a range of fuels and technologies to generate electricity, including natural gas, coal, pet coke, diesel, and oil, as well as renewables, such as hydro, solar, wind, energy storage, biomass, and landfill gas. The company owns and/or operates a generation portfolio of approximately 30,308 megawatts. It has operations in the United States, Puerto Rico, El Salvador, Chile, Colombia, Argentina, Brazil, Mexico, Central America, the Caribbean, Europe, and Asia. The company was formerly known as Applied Energy Services, Inc. and changed its name to The AES Corporation in April 2000. The AES Corporation was incorporated in 1981 and is headquartered in Arlington, Virginia.",Arlington,703 522 1315,VA,United States,[],http://www.aes.com,1,4300 Wilson Boulevard,Utilities—Diversified,0.34379002,0.049489997,0.2631,2047000064.0,0.193,0.24681999,3758000128.0,28.0,buy,2511000000.0,-770499968.0,30.0,23.38,,1.222,0.04867,10.0,30.35,347.172,0.15681,32.0,1580999936.0,20010999808.0,10931000320.0,2.371,USD,16.212,0.64,1.7,NYQ,The AES Corporation,The AES Corporation,America/New_York,EST,False,-18000000.0,EQUITY,finmb_35312,us_market,,3.444,,10.017,0.14660192,,1.65,,666713984.0,,,,3.658,10613764.0,0.0159,,1609372800.0,0.98802,537000000.0,0.776,0.151,0.27108085,6.3914704,0.00312,1672444800.0,,1632960000.0,2.15,1634256000.0,664400332.0,,37642788864.0,2,,959904000.0,2:1,,1635724800.0,,,1.4260151,1636934400.0,1.85,,14.169697,,0.0214,9569399.0,,,,23.62,23.6,25.43405,0.024259102,0.7626,,23.86,,3537660.0,23.62,24.3008,0.573,23.6,,3537660.0,,,0.6,1635724800.0,,,23.1,USD,30.128864,9984366.0,,,,15587772416.0,,,5027123.0,23.1,23.39,1300.0,9984366.0,29.07,,3.44,20.27,23.0,False,0.0253,2200.0,23.86,23.38,https://logo.clearbit.com/aes.com,11th Floor,,,,,,,,,,,,,,,,,
